001  00274 |Loss: 1.461 | Acc: 50.000% 
001  00275 |Loss: 1.458 | Acc: 50.000% 
001  00276 |Loss: 1.456 | Acc: 50.000% 
001  00277 |Loss: 1.455 | Acc: 50.000% 
001  00278 |Loss: 1.451 | Acc: 50.000% 
001  00279 |Loss: 1.448 | Acc: 50.000% 
001  00280 |Loss: 1.450 | Acc: 50.000% 
001  00281 |Loss: 1.446 | Acc: 50.000% 
001  00282 |Loss: 1.447 | Acc: 50.000% 
001  00283 |Loss: 1.447 | Acc: 50.000% 
001  00284 |Loss: 1.446 | Acc: 50.000% 
001  00285 |Loss: 1.442 | Acc: 50.000% 
001  00286 |Loss: 1.439 | Acc: 51.000% 
001  00287 |Loss: 1.438 | Acc: 51.000% 
001  00288 |Loss: 1.437 | Acc: 51.000% 
001  00289 |Loss: 1.437 | Acc: 50.000% 
001  00290 |Loss: 1.436 | Acc: 50.000% 
001  00291 |Loss: 1.435 | Acc: 50.000% 
001  00292 |Loss: 1.432 | Acc: 50.000% 
001  00293 |Loss: 1.429 | Acc: 50.000% 
001  00294 |Loss: 1.426 | Acc: 50.000% 
001  00295 |Loss: 1.424 | Acc: 50.000% 
001  00296 |Loss: 1.425 | Acc: 50.000% 
001  00297 |Loss: 1.425 | Acc: 50.000% 
001  00298 |Loss: 1.423 | Acc: 50.000% 
001  00299 |Loss: 1.422 | Acc: 50.000% 
001  00300 |Loss: 1.419 | Acc: 50.000% 
001  00301 |Loss: 1.416 | Acc: 50.000% 
001  00302 |Loss: 1.416 | Acc: 50.000% 
001  00303 |Loss: 1.414 | Acc: 50.000% 
001  00304 |Loss: 1.416 | Acc: 50.000% 
001  00305 |Loss: 1.416 | Acc: 50.000% 
001  00306 |Loss: 1.414 | Acc: 50.000% 
001  00307 |Loss: 1.414 | Acc: 50.000% 
001  00308 |Loss: 1.413 | Acc: 50.000% 
001  00309 |Loss: 1.409 | Acc: 50.000% 
001  00310 |Loss: 1.407 | Acc: 50.000% 
001  00311 |Loss: 1.404 | Acc: 50.000% 
001  00312 |Loss: 1.403 | Acc: 50.000% 
001  00313 |Loss: 1.401 | Acc: 50.000% 
001  00314 |Loss: 1.399 | Acc: 50.000% 
001  00315 |Loss: 1.399 | Acc: 50.000% 
001  00316 |Loss: 1.398 | Acc: 50.000% 
001  00317 |Loss: 1.397 | Acc: 50.000% 
001  00318 |Loss: 1.398 | Acc: 50.000% 
001  00319 |Loss: 1.396 | Acc: 50.000% 
001  00320 |Loss: 1.394 | Acc: 50.000% 
001  00321 |Loss: 1.390 | Acc: 51.000% 
001  00322 |Loss: 1.387 | Acc: 51.000% 
001  00323 |Loss: 1.383 | Acc: 51.000% 
001  00324 |Loss: 1.386 | Acc: 51.000% 
001  00325 |Loss: 1.391 | Acc: 51.000% 
001  00326 |Loss: 1.390 | Acc: 51.000% 
001  00327 |Loss: 1.389 | Acc: 51.000% 
001  00328 |Loss: 1.387 | Acc: 51.000% 
001  00329 |Loss: 1.383 | Acc: 51.000% 
001  00330 |Loss: 1.383 | Acc: 51.000% 
001  00331 |Loss: 1.382 | Acc: 51.000% 
001  00332 |Loss: 1.378 | Acc: 51.000% 
001  00333 |Loss: 1.386 | Acc: 51.000% 
001  00334 |Loss: 1.382 | Acc: 51.000% 
001  00335 |Loss: 1.379 | Acc: 51.000% 
001  00336 |Loss: 1.378 | Acc: 51.000% 
001  00337 |Loss: 1.374 | Acc: 51.000% 
001  00338 |Loss: 1.377 | Acc: 51.000% 
001  00339 |Loss: 1.377 | Acc: 51.000% 
001  00340 |Loss: 1.374 | Acc: 51.000% 
001  00341 |Loss: 1.372 | Acc: 52.000% 
001  00342 |Loss: 1.371 | Acc: 51.000% 
001  00343 |Loss: 1.370 | Acc: 51.000% 
001  00344 |Loss: 1.370 | Acc: 51.000% 
001  00345 |Loss: 1.368 | Acc: 51.000% 
001  00346 |Loss: 1.366 | Acc: 51.000% 
001  00347 |Loss: 1.365 | Acc: 51.000% 
001  00348 |Loss: 1.364 | Acc: 51.000% 
001  00349 |Loss: 1.362 | Acc: 51.000% 
001  00350 |Loss: 1.361 | Acc: 51.000% 
001  00351 |Loss: 1.362 | Acc: 51.000% 
001  00352 |Loss: 1.362 | Acc: 51.000% 
001  00353 |Loss: 1.362 | Acc: 51.000% 
001  00354 |Loss: 1.363 | Acc: 51.000% 
001  00355 |Loss: 1.361 | Acc: 51.000% 
001  00356 |Loss: 1.360 | Acc: 51.000% 
001  00357 |Loss: 1.358 | Acc: 51.000% 
001  00358 |Loss: 1.356 | Acc: 51.000% 
001  00359 |Loss: 1.354 | Acc: 51.000% 
001  00360 |Loss: 1.352 | Acc: 51.000% 
001  00361 |Loss: 1.350 | Acc: 51.000% 
001  00362 |Loss: 1.348 | Acc: 51.000% 
001  00363 |Loss: 1.346 | Acc: 51.000% 
001  00364 |Loss: 1.345 | Acc: 51.000% 
001  00365 |Loss: 1.344 | Acc: 51.000% 
001  00366 |Loss: 1.342 | Acc: 51.000% 
001  00367 |Loss: 1.340 | Acc: 51.000% 
001  00368 |Loss: 1.339 | Acc: 51.000% 
001  00369 |Loss: 1.337 | Acc: 51.000% 
001  00370 |Loss: 1.335 | Acc: 51.000% 
001  00371 |Loss: 1.333 | Acc: 51.000% 
001  00372 |Loss: 1.331 | Acc: 51.000% 
001  00373 |Loss: 1.329 | Acc: 51.000% 
001  00374 |Loss: 1.327 | Acc: 51.000% 
001  00375 |Loss: 1.324 | Acc: 51.000% 
001  00376 |Loss: 1.324 | Acc: 51.000% 
001  00377 |Loss: 1.322 | Acc: 51.000% 
001  00378 |Loss: 1.320 | Acc: 51.000% 
001  00379 |Loss: 1.321 | Acc: 51.000% 
001  00380 |Loss: 1.319 | Acc: 51.000% 
001  00381 |Loss: 1.317 | Acc: 51.000% 
001  00382 |Loss: 1.315 | Acc: 52.000% 
001  00383 |Loss: 1.313 | Acc: 52.000% 
001  00384 |Loss: 1.311 | Acc: 52.000% 
001  00385 |Loss: 1.310 | Acc: 52.000% 
001  00386 |Loss: 1.308 | Acc: 52.000% 
001  00387 |Loss: 1.308 | Acc: 52.000% 
001  00388 |Loss: 1.306 | Acc: 52.000% 
001  00389 |Loss: 1.305 | Acc: 52.000% 
001  00390 |Loss: 1.303 | Acc: 52.000% 
001  00391 |Loss: 1.301 | Acc: 52.000% 
001  00392 |Loss: 1.298 | Acc: 52.000% 
001  00393 |Loss: 1.297 | Acc: 52.000% 
001  00394 |Loss: 1.295 | Acc: 52.000% 
001  00395 |Loss: 1.293 | Acc: 52.000% 
001  00396 |Loss: 1.291 | Acc: 52.000% 
001  00397 |Loss: 1.291 | Acc: 52.000% 
001  00398 |Loss: 1.293 | Acc: 52.000% 
001  00399 |Loss: 1.293 | Acc: 52.000% 
001  00400 |Loss: 1.291 | Acc: 52.000% 
001  00401 |Loss: 1.290 | Acc: 52.000% 
001  00402 |Loss: 1.289 | Acc: 52.000% 
001  00403 |Loss: 1.287 | Acc: 52.000% 
001  00404 |Loss: 1.285 | Acc: 52.000% 
001  00405 |Loss: 1.282 | Acc: 52.000% 
001  00406 |Loss: 1.285 | Acc: 52.000% 
001  00407 |Loss: 1.283 | Acc: 52.000% 
001  00408 |Loss: 1.286 | Acc: 52.000% 
001  00409 |Loss: 1.285 | Acc: 52.000% 
001  00410 |Loss: 1.283 | Acc: 52.000% 
001  00411 |Loss: 1.282 | Acc: 52.000% 
001  00412 |Loss: 1.280 | Acc: 52.000% 
001  00413 |Loss: 1.282 | Acc: 52.000% 
001  00414 |Loss: 1.283 | Acc: 52.000% 
001  00415 |Loss: 1.283 | Acc: 52.000% 
001  00416 |Loss: 1.281 | Acc: 52.000% 
001  00417 |Loss: 1.281 | Acc: 52.000% 
001  00418 |Loss: 1.280 | Acc: 52.000% 
001  00419 |Loss: 1.279 | Acc: 52.000% 
001  00420 |Loss: 1.278 | Acc: 52.000% 
001  00421 |Loss: 1.277 | Acc: 52.000% 
001  00422 |Loss: 1.275 | Acc: 52.000% 
001  00423 |Loss: 1.274 | Acc: 52.000% 
001  00424 |Loss: 1.272 | Acc: 52.000% 
001  00425 |Loss: 1.270 | Acc: 52.000% 
001  00426 |Loss: 1.270 | Acc: 52.000% 
001  00427 |Loss: 1.269 | Acc: 52.000% 
001  00428 |Loss: 1.267 | Acc: 52.000% 
001  00429 |Loss: 1.266 | Acc: 52.000% 
001  00430 |Loss: 1.264 | Acc: 52.000% 
